topic_id,topic_name,category
https://openalex.org/T11235,Statistical Methods in Clinical Trials and Drug Development,Mathematics
https://openalex.org/T11798,Experimental Design and Optimization Methods,Decision Sciences
https://openalex.org/T10243,Methods for Handling Missing Data in Statistical Analysis,Mathematics
https://openalex.org/T10521,Ribosome Structure and Translation Mechanisms,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10222,Regulation of Chromatin Structure and Function,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10467,Measurement Invariance in Structural Equation Modeling,Decision Sciences
https://openalex.org/T12175,The Dialogical Self: Personal and Cultural Positioning,Psychology
https://openalex.org/T11162,Macromolecular Crystallography Techniques,Materials Science
https://openalex.org/T10211,Computational Methods in Drug Discovery,Computer Science
https://openalex.org/T11071,Molecular Mechanisms of Depression Treatment Strategies,Medicine
https://openalex.org/T10206,Methods for Evidence Synthesis in Research,Decision Sciences
https://openalex.org/T12443,The Delphi Method in Research and Consensus Building,Social Sciences
https://openalex.org/T11744,Implementation of Evidence-Based Practice in Healthcare,Health Professions
https://openalex.org/T13913,Blockchain Technology in Education and Learning,Computer Science
https://openalex.org/T10561,Research Methods in Education,Social Sciences
https://openalex.org/T11734,Management Information System in Business and Technology,"Business, Management and Accounting"
https://openalex.org/T10775,Generative Adversarial Networks in Image Processing,Computer Science
https://openalex.org/T11871,Detection and Handling of Multicollinearity in Regression Analysis,Mathematics
https://openalex.org/T13141,Multivariate Analysis in Statistical Research,Mathematics
https://openalex.org/T13580,Management and Educational Leadership,"Business, Management and Accounting"
https://openalex.org/T10556,Global Cancer Incidence and Mortality Patterns,Medicine
https://openalex.org/T10552,Global Trends in Colorectal Cancer Research,Medicine
https://openalex.org/T14078,Epidemiology of Multiple Primary Cancers,Medicine
https://openalex.org/T12044,Computational Chemistry and Polymer Physics,Chemistry
https://openalex.org/T11634,Assessment of Surface Water Quality,Environmental Science
https://openalex.org/T12708,Economic Burden of Cancer Treatment,"Economics, Econometrics and Finance"
https://openalex.org/T11797,Optical Code Division Multiple Access,Engineering
https://openalex.org/T11447,Blind Source Separation and Independent Component Analysis,Computer Science
https://openalex.org/T11269,Text Compression and Indexing Algorithms,Computer Science
https://openalex.org/T11542,Theories of Behavior Change and Self-Regulation,Psychology
https://openalex.org/T10826,Behavioral Interventions in Special Education,Psychology
https://openalex.org/T10646,Social Preferences and Economic Behavior,Social Sciences
https://openalex.org/T13309,Inter-Rater Reliability in Scientific Studies,Decision Sciences
https://openalex.org/T14374,Methods for Sample Size Calculation in Research,Mathematics
https://openalex.org/T10120,Bacterial Physiology and Genetics,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10413,Mantle Dynamics and Earth's Structure,Earth and Planetary Sciences
https://openalex.org/T11341,Synthesis and Properties of Boron-based Materials,Materials Science
https://openalex.org/T11454,Cultural Psychology and Values Research,Psychology
https://openalex.org/T10182,Emotion Regulation and Psychopathology in Children and Adolescents,Psychology
https://openalex.org/T10314,Intergroup Relations and Social Identity Theories,Social Sciences
https://openalex.org/T11612,Optimization Methods in Machine Learning,Computer Science
https://openalex.org/T10963,Numerical Optimization Techniques,Mathematics
https://openalex.org/T12676,Theory and Applications of Extreme Learning Machines,Computer Science
https://openalex.org/T11105,Single Image Super-Resolution Techniques,Computer Science
https://openalex.org/T10050,Multi-Criteria Decision Making,Decision Sciences
https://openalex.org/T10825,Diversity and Evolution of Fungal Pathogens,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10240,Elicitor Signal Transduction for Metabolite Production,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10451,Mycorrhizal Fungi and Plant Interactions,Agricultural and Biological Sciences
https://openalex.org/T13398,Statistical Computing and Data Analysis in R,Computer Science
https://openalex.org/T13283,Network Analysis of Psychopathology and Mental Disorders,Psychology
https://openalex.org/T12859,Advanced Techniques in Bioimage Analysis and Microscopy,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T13114,Autofocusing in Microscopy and Photography,Engineering
https://openalex.org/T11512,Anomaly Detection in High-Dimensional Data,Computer Science
https://openalex.org/T10407,Lipid Rafts and Membrane Dynamics,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T11027,Metabolic Disorders and Biochemical Genetics,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10725,Mechanisms and Applications of RNA Interference,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T12137,Existence and Dynamics of Monetary Equilibrium Models,"Economics, Econometrics and Finance"
https://openalex.org/T10127,Banking and Finance in Economic Systems,"Economics, Econometrics and Finance"
https://openalex.org/T10047,Asset Pricing and Market Efficiency,"Economics, Econometrics and Finance"
https://openalex.org/T10083,"Graphene: Properties, Synthesis, and Applications",Materials Science
https://openalex.org/T10074,Carbon Nanotubes and their Applications,Materials Science
https://openalex.org/T10956,Chemistry and Applications of Fullerenes,Chemistry
https://openalex.org/T11414,Slow Light Propagation and Quantum Memory,Physics and Astronomy
https://openalex.org/T10299,Silicon Photonics Technology,Engineering
https://openalex.org/T10820,Type-2 Fuzzy Logic Systems and Applications,Computer Science
https://openalex.org/T11671,Application of Soft Set Theory in Decision Making,Decision Sciences
https://openalex.org/T10012,Population Genetic Structure and Dynamics,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T11354,Evolutionary Dynamics of Mammals and Their Ancestors,Earth and Planetary Sciences
https://openalex.org/T12557,Synthesis and Properties of Inorganic Cluster Compounds,Chemistry
https://openalex.org/T12613,Powder Diffraction Analysis,Materials Science
https://openalex.org/T10939,Nonlinear Optical Materials,Materials Science
https://openalex.org/T13650,Scientific Computing and Data Analysis with Python,Computer Science
https://openalex.org/T10631,Metabolic Reprogramming in Cancer Biology,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10269,Epigenetic Modifications and Their Functional Implications,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10336,Cancer Stem Cells and Tumor Metastasis,Medicine
https://openalex.org/T12101,Optimization of Multi-Armed Bandit Problems,Decision Sciences
https://openalex.org/T10531,Stereo Vision and Depth Estimation,Computer Science
https://openalex.org/T10913,Molecular Electronic Devices and Systems,Engineering
https://openalex.org/T10146,Human Papillomavirus and Cervical Cancer Epidemiology,Medicine
https://openalex.org/T13297,Application of Partially Ordered Sets in Chemistry Research,Chemistry
https://openalex.org/T11016,"Therapeutic Antibodies: Development, Engineering, and Applications",Medicine
https://openalex.org/T10301,Mitochondrial Dynamics and Reactive Oxygen Species Regulation,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10492,Regulation and Function of Microtubules in Cell Division,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10434,Genome Evolution and Polyploidy in Plants,Agricultural and Biological Sciences
https://openalex.org/T11116,Fluid Resuscitation in Trauma and Critical Care,Medicine
https://openalex.org/T12664,Development and Evaluation of Clinical Guidelines,Medicine
https://openalex.org/T13748,Secure Classical Communication Using Noise and Laws,Computer Science
https://openalex.org/T10207,DNA Nanotechnology and Bioanalytical Applications,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T14285,Microbial Production of Polyglutamic Acid,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10191,Simultaneous Localization and Mapping,Engineering
https://openalex.org/T12549,Robust Line and Curve Detection using Hough Transform,Computer Science
https://openalex.org/T10068,User Acceptance of Information Technology,Decision Sciences
https://openalex.org/T12028,Knowledge Sharing in Virtual Communities,Social Sciences
https://openalex.org/T10609,Impact of Social Media on Consumer Behavior,Social Sciences
https://openalex.org/T10824,Shape Matching and Object Recognition,Computer Science
https://openalex.org/T11714,Visual Question Answering in Images and Videos,Computer Science
https://openalex.org/T11247,Plant Nutrient Uptake and Signaling Pathways,Agricultural and Biological Sciences
https://openalex.org/T11791,Marine Microbial Diversity and Biogeography,Environmental Science
https://openalex.org/T11083,Cardiac Rehabilitation and Cardiovascular Health Interventions,Medicine
https://openalex.org/T10853,Cognitive Mechanisms of Anxiety and Depression,Psychology
https://openalex.org/T10023,Schizophrenia Research and Treatment,Medicine
https://openalex.org/T10100,Swarm Intelligence Optimization Algorithms,Computer Science
https://openalex.org/T10181,Statistical Machine Translation and Natural Language Processing,Computer Science
https://openalex.org/T10028,Natural Language Processing,Computer Science
https://openalex.org/T13447,Dynamic Assessment in Educational Psychology,Psychology
https://openalex.org/T11577,Effects of Working Memory Training on Cognitive Abilities,Psychology
https://openalex.org/T10601,Handwriting Recognition and Text Detection,Computer Science
https://openalex.org/T14339,Automated Reconstruction of Fragmented Objects,Computer Science
https://openalex.org/T11584,Sweeteners' Taste and Impact on Health,Nursing
https://openalex.org/T10908,Chiral Separation in Chromatography,Chemistry
https://openalex.org/T11667,Breath Analysis Technology,Engineering
https://openalex.org/T10118,Coronavirus Disease 2019 Research,Medicine
https://openalex.org/T10041,Coronavirus Disease 2019,Medicine
https://openalex.org/T10976,Gastrointestinal Viral Infections and Vaccines Development,Medicine
https://openalex.org/T12910,Metabolism and Function of Arachidonic Acid Derivatives,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T11332,Role of Nrf2 Signaling in Oxidative Stress Response,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T11884,Redox Signaling and Oxidative Stress,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10387,Role of Omega-3 Fatty Acids in Health,Nursing
https://openalex.org/T11844,Lipid Metabolism and Storage in Organisms,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10836,Advances in Metabolomics Research,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T11700,Optimization of Perioperative Fluid Therapy,Medicine
https://openalex.org/T14500,Advancements in Mathematics and Mathematical Physics,Mathematics
https://openalex.org/T10792,Matrix Algorithms and Iterative Methods,Computer Science
https://openalex.org/T10876,Process Fault Detection and Diagnosis in Industries,Engineering
https://openalex.org/T12205,Clustering of Time Series Data and Algorithms,Computer Science
https://openalex.org/T10711,Particle Filtering and Nonlinear Estimation Methods,Computer Science
https://openalex.org/T10136,Regularization and Variable Selection Methods,Mathematics
https://openalex.org/T10968,Skew Distributions and Applications in Statistics,Mathematics
https://openalex.org/T10260,Empirical Studies in Software Engineering,Computer Science
https://openalex.org/T10430,Agile Software Development in Software Engineering,Computer Science
https://openalex.org/T14333,Dermatoglyphics in Medical Research and Genetics,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T14400,Accuracy of Clinical Coding in Healthcare Data,Health Professions
https://openalex.org/T11165,Image Quality Assessment in Multimedia Content,Computer Science
https://openalex.org/T11605,Computational Modeling of Visual Saliency Detection,Computer Science
https://openalex.org/T11659,Multispectral and Hyperspectral Image Fusion,Engineering
https://openalex.org/T11901,Model-Based Clustering with Mixture Models,Computer Science
https://openalex.org/T12246,Epidemiology and Implications of Multimorbidity in Healthcare,Medicine
https://openalex.org/T11467,Impact of Trauma Care Systems on Mortality,Medicine
https://openalex.org/T11095,Emergency Department Crowding,Medicine
https://openalex.org/T10887,Analysis of Gene Interaction Networks,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T11482,RNA Methylation and Modification in Gene Expression,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10282,Modeling and Forecasting Financial Volatility,"Economics, Econometrics and Finance"
https://openalex.org/T11764,Evolutionary Dynamics of Genetic Adaptation and Mutation,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10591,Phase Transitions and Critical Phenomena,Physics and Astronomy
https://openalex.org/T10848,Multiobjective Optimization in Evolutionary Algorithms,Computer Science
https://openalex.org/T11522,Design and Optimization of Field-Programmable Gate Arrays and Application-Specific Integrated Circuits,Engineering
https://openalex.org/T14351,Inductive Modeling in Scientific Research,Computer Science
https://openalex.org/T11890,Measurement and Uncertainty Evaluation,Decision Sciences
https://openalex.org/T11986,Management and Reproducibility of Scientific Workflows,Decision Sciences
https://openalex.org/T11948,Accelerating Materials Innovation through Informatics,Materials Science
https://openalex.org/T11334,Interoception and Somatic Symptoms,Medicine
https://openalex.org/T10798,Noncovalent Interactions in Molecular Crystals and Supramolecular Chemistry,Chemistry
https://openalex.org/T12646,Chemistry of Noble Gas Compounds and Interactions,Chemistry
https://openalex.org/T10932,Metabolic Engineering and Synthetic Biology,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10621,Stochasticity in Gene Regulatory Networks,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T14465,Risk Management and Decision Making in Complex Systems,Decision Sciences
https://openalex.org/T11187,Dynamics of Synchronization in Complex Networks,Computer Science
https://openalex.org/T11513,Stochastic Resonance in Nonlinear Systems,Physics and Astronomy
https://openalex.org/T11466,Workplace Learning and Activity Theory,Social Sciences
https://openalex.org/T12805,Application of Fuzzy Cognitive Maps in Modeling,Computer Science
https://openalex.org/T11975,Application of Genetic Programming in Machine Learning,Computer Science
https://openalex.org/T10054,Parallel Computing and Performance Optimization,Computer Science
https://openalex.org/T12326,Algorithms and Architectures for Packet Classification,Computer Science
https://openalex.org/T10416,Epidemiology and Impact of Traumatic Brain Injury,Medicine
https://openalex.org/T12111,Fabric Defect Detection in Industrial Applications,Engineering
https://openalex.org/T10715,Distributed Grid Computing Systems,Computer Science
https://openalex.org/T12002,Computational Complexity and Algorithmic Information Theory,Computer Science
https://openalex.org/T13498,Impact of Technological Revolutions on Global Economy,"Economics, Econometrics and Finance"
https://openalex.org/T12261,Statistical Mechanics with Long-Range Interactions and Nonextensivity,Physics and Astronomy
https://openalex.org/T10778,Mechanistic Explanation in Scientific Discovery and Evolution,Arts and Humanities
https://openalex.org/T12114,Sensory Analysis in Food Science Research,Agricultural and Biological Sciences
https://openalex.org/T14394,Physics of the Mind and Cognitive Science,Neuroscience
https://openalex.org/T12592,Statistical Physics of Opinion Dynamics,Physics and Astronomy
https://openalex.org/T11710,Biomedical Ontologies and Text Mining,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10215,Semantic Web and Ontology Development,Computer Science
https://openalex.org/T12601,Web Engineering for Applications Development,Computer Science
https://openalex.org/T10410,Modeling the Dynamics of COVID-19 Pandemic,Mathematics
https://openalex.org/T10845,Methods for Causal Inference in Observational Studies,Mathematics
https://openalex.org/T13240,Biomass and Bioenergy in the Bioeconomy,Agricultural and Biological Sciences
https://openalex.org/T10856,Analysis of Intellectual Property Rights and Innovation,"Business, Management and Accounting"
https://openalex.org/T12255,Immunogenicity of Biosimilar Therapeutics in Drug Development,Immunology and Microbiology
https://openalex.org/T11936,Aqueous Two-Phase Systems in Separation Science,Chemical Engineering
https://openalex.org/T10402,Supercritical Fluid Extraction and Processing,Engineering
https://openalex.org/T10502,Memristive Devices for Neuromorphic Computing,Engineering
https://openalex.org/T10003,Knowledge Management and Organizational Innovation,"Business, Management and Accounting"
https://openalex.org/T10415,International Business Strategy in Emerging Economies,"Business, Management and Accounting"
https://openalex.org/T10019,Corporate Governance and Financial Performance,"Business, Management and Accounting"
https://openalex.org/T12021,Research Methodology in Social Sciences and Education,Social Sciences
https://openalex.org/T11239,Social Capital and Trust in Communities,Social Sciences
https://openalex.org/T10064,Statistical Mechanics of Complex Networks,Physics and Astronomy
https://openalex.org/T10804,Health Economics and Quality of Life Assessment,"Economics, Econometrics and Finance"
https://openalex.org/T11400,Self-Determination Theory in Human Motivation and Well-Being,Psychology
https://openalex.org/T10177,Integration of Palliative Care in End-of-Life,Medicine
https://openalex.org/T13765,Interdisciplinary Social Science Research,Social Sciences
https://openalex.org/T11849,Intellectual Capital and Business Performance,"Business, Management and Accounting"
https://openalex.org/T12851,Evolution of Firm Size and Growth Dynamics,"Economics, Econometrics and Finance"
https://openalex.org/T10812,Human Action Recognition and Pose Estimation,Computer Science
https://openalex.org/T11520,Stochastic Thermodynamics and Fluctuation Theorems,Physics and Astronomy
https://openalex.org/T12202,Ice Nucleation and Melting Phenomena,Earth and Planetary Sciences
https://openalex.org/T12702,Classification of Brain Tumor Type and Grade,Neuroscience
https://openalex.org/T12621,Brain Lateralization and Handedness in Humans and Animals,Neuroscience
https://openalex.org/T10315,Behavioral Economics and Decision Making,Decision Sciences
https://openalex.org/T10841,Discrete Choice Models in Economics and Health Care,"Economics, Econometrics and Finance"
https://openalex.org/T11303,Learning and Inference in Bayesian Networks,Computer Science
https://openalex.org/T10201,Speech Recognition Technology,Computer Science
https://openalex.org/T11875,Statistical Literacy and Reasoning in Education,Mathematics
https://openalex.org/T11252,Evolution of Cooperation and Altruism in Social Systems,Social Sciences
https://openalex.org/T12254,Prediction of Protein Subcellular Localization,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10799,Information Visualization and Visual Data Mining,Computer Science
https://openalex.org/T10637,Data Clustering Techniques and Algorithms,Computer Science
https://openalex.org/T11106,Trajectory Data Mining and Analysis,Computer Science
https://openalex.org/T10786,Impact of Maternal Mental Health on Offspring,Medicine
https://openalex.org/T10235,Impact of Social Factors on Health Outcomes,Social Sciences
https://openalex.org/T12480,Health Locus of Control and Promoting Behaviors,Health Professions
https://openalex.org/T14212,Effectiveness of General Health Check Programs,Medicine
https://openalex.org/T10154,"Customer Relationships, Behavior, and Loyalty","Business, Management and Accounting"
https://openalex.org/T10184,Molecular Mechanisms of Plant Development and Regulation,Agricultural and Biological Sciences
https://openalex.org/T10494,Viral RNA Silencing and Plant Immunity,Agricultural and Biological Sciences
https://openalex.org/T10683,Mass Spectrometry Techniques,Chemistry
https://openalex.org/T11089,Environmental Impacts of Fukushima Nuclear Disaster,Environmental Science
https://openalex.org/T10432,G-Quadruplex DNA Structures and Functions,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T11697,Floating-Point Arithmetic in Scientific Computation,Computer Science
https://openalex.org/T12072,Active Learning in Machine Learning Research,Computer Science
https://openalex.org/T12659,Models and Dynamics of Technology Diffusion,Decision Sciences
https://openalex.org/T11316,"Diagnosis, Treatment, and Epidemiology of Nontuberculous Mycobacterial Diseases",Medicine
https://openalex.org/T10594,Genomic Selection in Plant and Animal Breeding,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T13051,Qualitative Comparative Analysis in Social Science Research,Social Sciences
https://openalex.org/T10027,Metabolic Syndrome and Cardiovascular Disease,Medicine
https://openalex.org/T10394,Cholesterol-lowering Treatment,Medicine
https://openalex.org/T12465,Lipid Metabolism in Cancer Pathogenesis,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T11550,Multi-label Text Classification in Machine Learning,Computer Science
https://openalex.org/T11879,Global Diversity of Microbial Eukaryotes and Their Evolution,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10214,Therapeutic Alliance in Psychotherapy,Psychology
https://openalex.org/T12430,History and Development of Psychological Science,Psychology
https://openalex.org/T10462,Reinforcement Learning Algorithms,Computer Science
https://openalex.org/T12761,Adaptation to Concept Drift in Data Streams,Computer Science
https://openalex.org/T12997,Experiential Education and Adventure Therapy,Psychology
https://openalex.org/T10731,Gamification in Education and Learning,Psychology
https://openalex.org/T14308,The Psychology of Curiosity and Exploration,Psychology
https://openalex.org/T14313,Mental Health and Quality of Life,Psychology
https://openalex.org/T10007,Macroeconomic Analysis and Policy Implications,"Economics, Econometrics and Finance"
https://openalex.org/T11434,Electrochemical Detection of Heavy Metal Ions,Chemistry
https://openalex.org/T11472,Advances in Chemical Sensor Technologies,Chemical Engineering
https://openalex.org/T13910,Computational Text Analysis in Social Sciences,Social Sciences
https://openalex.org/T11530,Research Methods and Organizational Management,Decision Sciences
https://openalex.org/T11761,Psychological Resilience and Well-being,Psychology
https://openalex.org/T11120,Multilevel Perspectives on Prosocial Behavior and Volunteering,Social Sciences
https://openalex.org/T10475,Role of Positive Emotions in Well-Being,Psychology
https://openalex.org/T10168,Impact of COVID-19 on Mental Health,Psychology
https://openalex.org/T11911,Spatial Econometrics and Spatial Data Analysis,"Economics, Econometrics and Finance"
https://openalex.org/T11770,Impact of Infrastructure and Taxation on Economic Growth,"Economics, Econometrics and Finance"
https://openalex.org/T11339,Role of AMP-Activated Protein Kinase in Cellular Metabolism,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10560,Management of Diabetes Mellitus and Hypoglycemia,Medicine
https://openalex.org/T10401,Management of Diabetes Mellitus and Cardiovascular Risk,Medicine
https://openalex.org/T10331,Visual Object Tracking and Person Re-identification,Computer Science
https://openalex.org/T10344,Institutional Theory and Organizational Change,"Business, Management and Accounting"
https://openalex.org/T10158,Cancer Immunotherapy,Medicine
https://openalex.org/T11491,Chimeric Antigen Receptor T Cell Therapy,Medicine
https://openalex.org/T10580,Immunobiology of Dendritic Cells,Immunology and Microbiology
https://openalex.org/T10640,Chemometrics in Analytical Chemistry and Food Technology,Chemistry
https://openalex.org/T10261,Genomic Studies and Association Analyses,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T11468,Genetic Architecture of Quantitative Traits,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10317,Data Stream Management Systems and Techniques,Computer Science
https://openalex.org/T12675,Value-based Management and Economic Performance Measurement,"Business, Management and Accounting"
https://openalex.org/T11976,Application of Real Options in Investment Strategies,"Economics, Econometrics and Finance"
https://openalex.org/T11981,Qualitative Research Methods and Ethics,Social Sciences
https://openalex.org/T11296,Impact of COVID-19 on Cancer Patients and Care,Medicine
https://openalex.org/T11368,Neurological Manifestations of COVID-19 Infection,Medicine
https://openalex.org/T11806,Impact of Service-Learning in Higher Education,Social Sciences
https://openalex.org/T10895,Species Distribution Modeling and Climate Change Impacts,Environmental Science
https://openalex.org/T10005,Biodiversity Conservation and Ecosystem Management,Environmental Science
https://openalex.org/T10199,Wildlife Ecology and Conservation Biology,Environmental Science
https://openalex.org/T13126,Theoretical and Computational Physics,Physics and Astronomy
https://openalex.org/T12242,Interdisciplinary Study of Latino Culture and Identity,Social Sciences
https://openalex.org/T13428,Anarchist Movements and Ideologies,Social Sciences
https://openalex.org/T12444,Contemporary Art and Aesthetics Theory,Arts and Humanities
https://openalex.org/T10466,Numerical Weather Prediction Models,Earth and Planetary Sciences
https://openalex.org/T10029,Climate Change and Variability Research,Environmental Science
https://openalex.org/T11588,Global Methane Emissions and Impacts,Environmental Science
https://openalex.org/T13465,Characterization and Behavior of Nuclear Graphite Materials,Materials Science
https://openalex.org/T10018,Lithium-ion Battery Technology,Engineering
https://openalex.org/T10316,Sleep and Insomnia,Psychology
https://openalex.org/T10009,Diagnosis and Management of Alzheimer's Disease,Medicine
https://openalex.org/T12280,Role of Magnesium in Health and Disease,Nursing
https://openalex.org/T10516,Mineral Metabolism in Chronic Kidney Disease,Medicine
https://openalex.org/T12211,Mechanisms of Aluminum Toxicity and Tolerance in Plants,Agricultural and Biological Sciences
https://openalex.org/T10677,Theoretical Developments in Attachment and Relationships,Psychology
https://openalex.org/T13777,Laddering Theory in Consumer Research and Psychology,Psychology
https://openalex.org/T11495,Viral Diseases in Livestock and Poultry,Agricultural and Biological Sciences
https://openalex.org/T11998,Positive Youth Development in the United States,Social Sciences
https://openalex.org/T13820,Plasma Applications for Environmentally Friendly Catalyst Preparation,Engineering
https://openalex.org/T10024,Photocatalysis and Solar Energy Conversion,Energy
https://openalex.org/T10321,Applications of Quantum Dots in Nanotechnology,Materials Science
https://openalex.org/T10078,Photocatalytic Materials for Solar Energy Conversion,Energy
https://openalex.org/T12011,Population Ageing Research,Social Sciences
https://openalex.org/T14509,Spatial Microsimulation Models for Policy Analysis,Decision Sciences
https://openalex.org/T12781,Determinants of Health Care Expenditure and Longevity,Health Professions
https://openalex.org/T10583,The p53 Signaling Network in Cancer Research,Medicine
https://openalex.org/T11287,Genomic Landscape of Cancer and Mutational Signatures,"Biochemistry, Genetics and Molecular Biology"
https://openalex.org/T10547,The Psychology of Achievement Motivation and Learning,Psychology
https://openalex.org/T12258,Psychological Effects of Perfectionism,Psychology
https://openalex.org/T10445,Role of Oxidative Stress in Health and Disease,Medicine
https://openalex.org/T13487,Total Least Squares Methods and Applications,Mathematics
https://openalex.org/T11236,System Identification Techniques,Engineering
https://openalex.org/T13608,Internet of Things and Healthcare Systems,Computer Science
https://openalex.org/T10086,Mechanisms of Alzheimer's Disease,Medicine
https://openalex.org/T10706,Management and Pathophysiology of Traumatic Brain Injury,Medicine
https://openalex.org/T12947,Salutogenesis and Sense of Coherence in Health,Health Professions
https://openalex.org/T12327,Innovations in Chemistry Education and Laboratory Techniques,Chemistry
https://openalex.org/T13402,Coopetition in Business Networks and Innovation,"Business, Management and Accounting"
https://openalex.org/T10357,Efficiency Analysis in Production and Resource Allocation,Decision Sciences
https://openalex.org/T12709,Multi-Objective Transportation Problem Optimization,Engineering
https://openalex.org/T10328,Coordination and Information Sharing in Supply Chains,"Business, Management and Accounting"
https://openalex.org/T10212,Electrochemical Biosensor Technology,Engineering
https://openalex.org/T10052,Image Segmentation Techniques,Computer Science
https://openalex.org/T10688,Image Denoising Techniques and Algorithms,Computer Science
https://openalex.org/T10785,The Study of Economic Institutions and Behavior,"Economics, Econometrics and Finance"
