InstitutionId,Institution_Name,City,Country
113,Institute of Tibetan Plateau Research,Beijing,China
114,Institute of Urban Environment,Beijing,China
115,Institute of Vertebrate Paleontology and Paleoanthropology,Beijing,China
116,Institute of Zoology,Beijing,China
117,Institutes of Science and Development,Beijing,China
118,Kunming Institute of Botany,Beijing,China
119,Kunming Institute of Zoology,Beijing,China
120,Lanzhou Institute of Chemical Physics,Beijing,China
121,Nanjing Institute of Geography and Limnology,Beijing,China
122,Nanjing Institute of Geology and Paleontology,Beijing,China
123,National Astronomical Observatories,Beijing,China
124,National Center for Nanoscience and Technology,Beijing,China
125,National Science Library,Beijing,China
126,National Space Science Center,Beijing,China
127,National Time Service Center,Beijing,China
128,Ningbo Institute of Industrial Technology,Beijing,China
129,Northeast Institute of Geography and Agroecology,Beijing,China
130,Northwest Institute of Eco-Environment and Resources,Beijing,China
131,Purple Mountain Observatory,Beijing,China
132,Qingdao Institute of Bioenergy and Bioprocess Technology,Beijing,China
133,Research Center for Eco-Environmental Sciences,Beijing,China
134,Shanghai Advanced Research Institute,Beijing,China
135,Shanghai Astronomical Observatory,Beijing,China
136,Shanghai Institute of Applied Physics,Beijing,China
137,Shanghai Institute of Ceramics,Beijing,China
138,Shanghai Institute of Materia Medica,Beijing,China
139,Shanghai Institute of Microsystem and Information Technology,Beijing,China
140,Shanghai Institute of Nutrition and Health,Beijing,China
141,Shanghai Institute of Optics and Fine Mechanics,Beijing,China
142,Shanghai Institute of Organic Chemistry,Beijing,China
143,Shanghai Institute of Technical Physics,Beijing,China
144,Shanghai Institutes for Biological Sciences,Beijing,China
145,Shenyang Institute of Automation,Beijing,China
146,Shenzhen Institutes of Advanced Technology,Beijing,China
147,South China Botanical Garden,Beijing,China
148,South China Sea Institute Of Oceanology,Beijing,China
149,Suzhou Institute of Biomedical Engineering and Technology,Beijing,China
150,Suzhou Institute of Nano-tech and Nano-bionics,Beijing,China
151,Technical Institute of Physics and Chemistry,Beijing,China
152,Technology and Engineering Center for Space Utilization,Beijing,China
153,Tianjin Institute of Industrial Biotechnology,Beijing,China
154,University of Chinese Academy of Sciences,Beijing,China
155,University of Science and Technology of China,Beijing,China
156,Wuhan Botanical Garden,Beijing,China
157,Wuhan Institute of Physics and Mathematics,Beijing,China
158,Wuhan Institute of Virology,Beijing,China
159,Xi'an Institute of Optics and Precision Mechanics,Beijing,China
160,Xinjiang Institute of Ecology and Geography,Beijing,China
161,Xinjiang Technical Institute of Physics & Chemistry,Beijing,China
162,Xishuangbanna Tropical Botanical Garden,Beijing,China
163,Yantai Institute of Coastal Zone Research,Beijing,China
164,Beijing Institute of Nanoenergy and Nanosystems,Beijing,China
165,Bureau of International Cooperation,Beijing,China
166,Chengdu Organic Chemicals (China),Beijing,China
167,China Center of Advanced Science and Technology,Beijing,China
168,Cloud Computing Center,Beijing,China
169,Fairy Lake Botanical Garden,Beijing,China
170,Guangdong Academy of Sciences,Beijing,China
171,Guangxi Institute of Botany,Beijing,China
172,Guangzhou Chemistry (China),Beijing,China
173,Guangzhou Electronic Technology (China),Beijing,China
174,Guangzhou Institute of Advanced Technology,Beijing,China
175,Institute of Hydroecology,Beijing,China
176,Institute of Industry Technology Guangzhou,Beijing,China
177,Institute of Porous Flow and Fluid Mechanics,Beijing,China
178,Institute of Soil and Water Conservation,Beijing,China
179,Lushan Botanical Garden,Beijing,China
180,Microbiology Institute of Shaanxi,Beijing,China
181,National Center for Mathematics and Interdisciplinary Sciences,Beijing,China
182,Quanzhou Institute of Equipment Manufacturing Haixi Institute,Beijing,China
183,Shaanxi Institute of Zoology,Beijing,China
184,Shanghai Chenshan Plant Science Research Center,Beijing,China
185,Shenyang Institute of Computing Technology (China),Beijing,China
186,Tianjin Institute of Advanced Technology,Beijing,China
187,Xiamen Institute of Rare-earth Materials,Beijing,China
188,Youth Innovation Promotion Association,Beijing,China
189,Zhong Ke San Huan (China),Beijing,China
190,Harvard University,Cambridge,United States
191,Athinoula A. Martinos Center for Biomedical Imaging,Cambridge,United States
192,Berenson Allen Center for Noninvasive Brain Stimulation,Cambridge,United States
193,Center for Astrophysics Harvard & Smithsonian,Cambridge,United States
194,Center for Systems Biology,Cambridge,United States
195,Center for Vascular Biology Research,Cambridge,United States
196,Gordon Center for Medical Imaging,Cambridge,United States
197,Harvard Stem Cell Institute,Cambridge,United States
198,Harvard University Press,Cambridge,United States
199,MIT-Harvard Center for Ultracold Atoms,Cambridge,United States
200,"Ragon Institute of MGH, MIT and Harvard",Cambridge,United States
201,Sleep and Human Health Institute,Cambridge,United States
202,The NSF AI Institute for Artificial Intelligence and Fundamental Interactions,Cambridge,United States
203,Beth Israel Deaconess Medical Center,Cambridge,United States
204,Boston Children's Hospital,Cambridge,United States
205,Boston IVF,Cambridge,United States
206,Botswana Harvard AIDS Institute Partnership,Cambridge,United States
207,Brigham and Women's Faulkner Hospital,Cambridge,United States
208,Brigham and Women's Hospital,Cambridge,United States
209,Broad Institute,Cambridge,United States
210,Cambridge Health Alliance,Cambridge,United States
211,Dana-Farber Cancer Institute,Cambridge,United States
212,Harvard Pilgrim Health Care,Cambridge,United States
214,Hebrew SeniorLife,Cambridge,United States
215,IIT@Harvard,Cambridge,United States
216,Joslin Diabetes Center,Cambridge,United States
217,Judge Baker Children's Center,Cambridge,United States
218,Lahey Hospital and Medical Center,Cambridge,United States
219,Massachusetts Eye and Ear Infirmary,Cambridge,United States
220,Massachusetts General Hospital,Cambridge,United States
221,Massachusetts Green High Performance Computing Center,Cambridge,United States
222,McLean Hospital,Cambridge,United States
223,Newton Wellesley Hospital,Cambridge,United States
224,Somerville Hospital,Cambridge,United States
225,Spaulding Rehabilitation Hospital,Cambridge,United States
226,University of Toronto,Toronto,Canada
227,Canadian Institute for Theoretical Astrophysics,Toronto,Canada
228,Fields Institute for Research in Mathematical Sciences,Toronto,Canada
229,Ted Rogers Centre for Heart Research,Toronto,Canada
230,Baycrest Hospital,Toronto,Canada
231,Campbellford Memorial Hospital,Toronto,Canada
232,Centre for Addiction and Mental Health,Toronto,Canada
233,Creative Destruction Lab,Toronto,Canada
234,Holland Bloorview Kids Rehabilitation Hospital,Toronto,Canada
235,Hospital for Sick Children,Toronto,Canada
236,Humber River Regional Hospital,Toronto,Canada
237,Institute for Circumpolar Health Research,Toronto,Canada
238,Lunenfeld-Tanenbaum Research Institute,Toronto,Canada
239,Mount Sinai Hospital,Toronto,Canada
240,North York General Hospital,Toronto,Canada
241,St. Michael's Hospital,Toronto,Canada
242,Sunnybrook Health Science Centre,Toronto,Canada
243,Sunnybrook Hospital,Toronto,Canada
244,Surrey Place Centre,Toronto,Canada
245,The Scarborough Hospital,Toronto,Canada
246,Toronto East General Hospital,Toronto,Canada
247,Trillium Health Centre,Toronto,Canada
248,University Health Network,Toronto,Canada
249,Waypoint Centre for Mental Health Care,Toronto,Canada
250,West Park Healthcare Centre,Toronto,Canada
251,Women's College Hospital,Toronto,Canada
252,University College London,London,United Kingdom
253,"Centre for the Observation and Modelling of Earthquakes, Volcanoes and Tectonics",London,United Kingdom
254,Institute of Structural and Molecular Biology,London,United Kingdom
255,MRC Clinical Trials Unit at UCL,London,United Kingdom
256,MRC Laboratory for Molecular Cell Biology,London,United Kingdom
257,MRC Prion Unit,London,United Kingdom
258,MRC Unit for Lifelong Health and Ageing,London,United Kingdom
259,NIHR Moorfields Biomedical Research Centre,London,United Kingdom
260,Sierra Leone Urban Research Centre,London,United Kingdom
261,UCL Biomedical Research Centre,London,United Kingdom
262,University College London Qatar,London,United Kingdom
263,Wellcome / EPSRC Centre for Interventional and Surgical Sciences,London,United Kingdom
264,Wellcome Centre for Human Neuroimaging,London,United Kingdom
265,University of London,London,United Kingdom
266,Great Ormond Street Hospital,London,United Kingdom
267,Moorfields Eye Hospital,London,United Kingdom
268,NIHR Queen Square Dementia Biomedical Research Unit,London,United Kingdom
269,National Hospital for Neurology and Neurosurgery,London,United Kingdom
270,Royal National Orthopaedic Hospital,London,United Kingdom
271,Royal National Orthopaedic Hospital NHS Trust,London,United Kingdom
272,The Royal Free Hospital,London,United Kingdom
273,University College Hospital,London,United Kingdom
274,University College Hospital at Westmoreland Street,London,United Kingdom
275,Wellcome Trust Centre for the History of Medicine,London,United Kingdom
276,Whittington Hospital,London,United Kingdom
277,Stanford University,Stanford,United States
278,Brown Institute for Media Innovation,Stanford,United States
279,Center for Effective Global Action,Stanford,United States
280,Eterna Massive Open Laboratory,Stanford,United States
281,Kavli Institute for Particle Astrophysics and Cosmology,Stanford,United States
282,Max Planck Center for Visual Computing and Communication,Stanford,United States
283,Good Samaritan Hospital,Stanford,United States
284,Santa Clara Valley Medical Center,Stanford,United States
285,VA Palo Alto Health Care System,Stanford,United States
286,University of Washington,Seattle,United States
287,Center for Effective Global Action,Seattle,United States
288,Harborview Injury Prevention and Research Center,Seattle,United States
289,Health Alliance International,Seattle,United States
290,Seattle Epidemiologic Information and Research Center,Seattle,United States
291,University of Washington Applied Physics Laboratory,Seattle,United States
292,Washington Sea Grant,Seattle,United States
293,Washington Space Grant Consortium,Seattle,United States
294,Harborview Medical Center,Seattle,United States
295,Kootenai Medical Center,Seattle,United States
296,Northwest Hospital and Medical Center,Seattle,United States
297,Seattle Children's Hospital,Seattle,United States
298,University of Washington Medical Center,Seattle,United States
299,VA Puget Sound Health Care System,Seattle,United States
300,Valley Medical Center,Seattle,United States
301,Washington Research Foundation,Seattle,United States
302,The University of Tokyo,Tokyo,Japan
303,Laboratory for Integrated Micro-Mechatronic Systems,Tokyo,Japan
304,Spintronics Research Network of Japan,Tokyo,Japan
305,University of Tokyo Hospital,Tokyo,Japan
306,Veterinary Medical Center,Tokyo,Japan
307,Johns Hopkins University,Baltimore,United States
308,Johns Hopkins Berman Institute of Bioethics,Baltimore,United States
309,Johns Hopkins Center for Communication Programs,Baltimore,United States
310,Johns Hopkins University Applied Physics Laboratory,Baltimore,United States
311,Johns Hopkins University SAIS Bologna Center,Baltimore,United States
313,Maryland Space Grant Consortium,Baltimore,United States
314,Hospital Punta Pacifica,Baltimore,United States
315,Howard County General Hospital,Baltimore,United States
316,Johns Hopkins All Children's Hospital,Baltimore,United States
317,Johns Hopkins Bayview Medical Center,Baltimore,United States
318,Johns Hopkins Children's Center,Baltimore,United States
319,Johns Hopkins Medicine,Baltimore,United States
320,Peninsula Regional Medical Center,Baltimore,United States
321,Saudi Aramco Medical Services Organization,Baltimore,United States
322,Tawam Hospital,Baltimore,United States
323,Pacific Northwest National Laboratory,Richland,United States
324,Joint Global Change Research Institute,Richland,United States
325,Cornell University,Ithaca,United States
326,New York Sea Grant,Ithaca,United States
327,New York Space Grant Consortium,Ithaca,United States
328,New York State College of Agriculture & Life Sciences,Ithaca,United States
329,New York State College of Veterinary Medicine,Ithaca,United States
330,New York State School of Industrial and Labor Relations,Ithaca,United States
331,New York State University College of Human Ecology,Ithaca,United States
332,Burke Medical Research Institute,Ithaca,United States
333,Burke Rehabilitation Hospital,Ithaca,United States
334,Houston Methodist,Ithaca,United States
335,Lincoln Medical Center,Ithaca,United States
336,Lower Manhattan Hospital,Ithaca,United States
337,Memorial Sloan Kettering Cancer Center,Ithaca,United States
338,Morgan Stanley Children's Hospital,Ithaca,United States
339,Museum of the Earth,Ithaca,United States
340,New York Hospital Queens,Ithaca,United States
343,The Rogosin Institute,Ithaca,United States
344,Weill Cornell Medical College in Qatar,Ithaca,United States
345,Wyckoff Heights Medical Center,Ithaca,United States
346,University of Oxford,Oxford,United Kingdom
347,CRUK/MRC Oxford Institute for Radiation Oncology,Oxford,United Kingdom
348,Cancer Research UK Oxford Centre,Oxford,United Kingdom
349,"Centre for the Observation and Modelling of Earthquakes, Volcanoes and Tectonics",Oxford,United Kingdom
350,MRC Brain Network Dynamics Unit,Oxford,United Kingdom
351,MRC Human Immunology Unit,Oxford,United Kingdom
352,MRC Weatherall Institute of Molecular Medicine,Oxford,United Kingdom
353,Mahidol Oxford Tropical Medicine Research Unit,Oxford,United Kingdom
354,Medawar Building for Pathogen Research,Oxford,United Kingdom
355,"Oxford Centre for Diabetes, Endocrinology and Metabolism",Oxford,United Kingdom
356,Oxford University Clinical Research Unit,Oxford,United Kingdom
357,Oxford University Press (United Kingdom),Oxford,United Kingdom
358,Wellcome Centre for Ethics and Humanities,Oxford,United Kingdom
359,Wellcome Centre for Human Genetics,Oxford,United Kingdom
360,Wellcome Centre for Integrative Neuroimaging,Oxford,United Kingdom
361,Churchill Hospital,Oxford,United Kingdom
362,John Radcliffe Hospital,Oxford,United Kingdom
363,Mahosot Hospital,Oxford,United Kingdom
364,NIHR Oxford Musculoskeletal Biomedical Research Centre,Oxford,United Kingdom
365,Oxford Health NHS Foundation Trust,Oxford,United Kingdom
366,Warneford Hospital,Oxford,United Kingdom
369,Instituto Butantan,Oxford,United Kingdom
370,"University of California, Berkeley",Berkeley,United States
371,Center for Effective Global Action,Berkeley,United States
372,Gump South Pacific Research Station,Berkeley,United States
373,Innovative Genomics Institute,Berkeley,United States
374,Plant Gene Expression Center,Berkeley,United States
376,University of California System,Berkeley,United States
377,Dominican School of Philosophy and Theology,Berkeley,United States
378,Graduate Theological Union,Berkeley,United States
379,Kaiser Permanente Oakland Medical Center,Berkeley,United States
380,San Francisco Theological Seminary,Berkeley,United States
381,Inserm,Paris,France
383,Center for Research and Interdisciplinarity,Paris,France
384,Centre Interdisciplinaire de Recherche en Biologie,Paris,France
385,Centre International de Recherche en Infectiologie,Paris,France
387,Centre d'Immunologie et des Maladies Infectieuses,Paris,France
388,Centre de Biologie Structurale,Paris,France
390,Centre de Recherche des Cordeliers,Paris,France
396,Centre de Recherche en Neurosciences de Lyon,Paris,France
397,Centre de Recherche sur l'Inflammation,Paris,France
400,"Cognition, Action, and Sensorimotor Plasticity",Paris,France
401,Cognitive Neuroimaging Lab,Paris,France
415,Electrophysiology and Heart Modeling Institute,Paris,France
417,Genetique Reproduction and Developpement,Paris,France
418,Grenoble Institute of Neurosciences,Paris,France
420,Hemostase Inflammation Thrombosis,Paris,France
422,Imagerie et Cerveau,Paris,France
424,Inserm Transfert,Paris,France
425,Institut Cellule Souche et Cerveau,Paris,France
426,Institut Cochin,Paris,France
428,Institut Jacques Monod,Paris,France
429,Institut Langevin,Paris,France
431,Institut Necker Enfants Malades,Paris,France
436,Institut de Biologie Paris-Seine,Paris,France
437,Institut de Biologie Valrose,Paris,France
438,Institut de Biologie de Lille,Paris,France
441,Institut de Myologie,Paris,France
444,Institut de Recherche Interdisciplinaire sur les Enjeux Sociaux,Paris,France
446,Institut de Recherche sur le Cancer et le Vieillissement de Nice,Paris,France
449,Institut du Cerveau,Paris,France
451,Institut du Thorax,Paris,France
459,Institute for Regenerative Medicine & Biotherapy,Paris,France
461,Laboratoire CarMeN,Paris,France
462,Laboratoire d'Optique et Biosciences,Paris,France
464,Laboratoire de Recherche Vasculaire Translationnelle,Paris,France
468,"Lipides, Nutrition, Cancer",Paris,France
469,Metabolism and Renal Physiology,Paris,France
471,Oncogenesis Stress Signaling,Paris,France
472,Paris Cardiovascular Research Center,Paris,France
475,Processus Infectieux en Milieu Insulaire Tropical,Paris,France
477,Skin Research Center,Paris,France
480,Theories and Approaches of Genomic Complexity,Paris,France
481,Unit of Functional and Adaptive Biology,Paris,France
483,University of Cambridge,Cambridge,United Kingdom
484,Cambridge University Press,Cambridge,United Kingdom
486,Cancer Research UK Cambridge Center,Cambridge,United Kingdom
487,"Centre for the Observation and Modelling of Earthquakes, Volcanoes and Tectonics",Cambridge,United Kingdom
488,Hutchison/MRC Research Centre,Cambridge,United Kingdom
489,MRC Biostatistics Unit,Cambridge,United Kingdom
490,MRC Cognition and Brain Sciences Unit,Cambridge,United Kingdom
491,MRC Epidemiology Unit,Cambridge,United Kingdom
492,MRC Human Nutrition Research,Cambridge,United Kingdom
493,MRC Mitochondrial Biology Unit,Cambridge,United Kingdom
494,MRC Toxicology Unit,Cambridge,United Kingdom
495,Sedgwick Museum of Earth Sciences,Cambridge,United Kingdom
496,The Cambridge Centre for Advanced Research and Education in Singapore,Cambridge,United Kingdom
497,Wellcome/Cancer Research UK Gurdon Institute,Cambridge,United Kingdom
498,Wellcome/MRC Cambridge Stem Cell Institute,Cambridge,United Kingdom
499,Wellcome/MRC Institute of Metabolic Science,Cambridge,United Kingdom
500,Addenbrooke's Hospital,Cambridge,United Kingdom
501,Fulbourn Hospital,Cambridge,United Kingdom
502,Gates Cambridge Trust,Cambridge,United Kingdom
503,Ipswich Hospital,Cambridge,United Kingdom
504,NIHR Cambridge Dementia Biomedical Research Unit,Cambridge,United Kingdom
505,Papworth Hospital,Cambridge,United Kingdom
506,Queen Elizabeth Hospital,Cambridge,United Kingdom
507,Rosie Hospital,Cambridge,United Kingdom
508,"University of California, Los Angeles",Los Angeles,United States
509,California NanoSystems Institute,Los Angeles,United States
510,University of California System,Los Angeles,United States
511,Cedars-Sinai Medical Center,Los Angeles,United States
512,Education and Research Institute,Los Angeles,United States
513,Good Samaritan Hospital,Los Angeles,United States
515,Kern Medical Center,Los Angeles,United States
516,"Martin Luther King, Jr. Community Hospital",Los Angeles,United States
517,Mattel Children's Hospital,Los Angeles,United States
518,Olive View-UCLA Medical Center,Los Angeles,United States
519,Ronald Reagan UCLA Medical Center,Los Angeles,United States
520,St. Mary Medical Center,Los Angeles,United States
521,The Lundquist Institute,Los Angeles,United States
522,UCLA Health,Los Angeles,United States
523,UCLA Medical Center,Los Angeles,United States
524,VA Long Beach Healthcare System,Los Angeles,United States
525,VA West Los Angeles Medical Center,Los Angeles,United States
526,University of Pennsylvania,Philadelphia,United States
527,Penn Center for AIDS Research,Philadelphia,United States
528,American Research Institute in Turkey,Philadelphia,United States
529,Children's Hospital of Philadelphia,Philadelphia,United States
530,Hospital of the University of Pennsylvania,Philadelphia,United States
531,Penn Presbyterian Medical Center,Philadelphia,United States
532,Pennsylvania Hospital,Philadelphia,United States
533,Philadelphia VA Medical Center,Philadelphia,United States
534,University of Pennsylvania Health System,Philadelphia,United States
535,Columbia University,New York,United States
536,Lamont-Doherty Earth Observatory,New York,United States
537,Bassett Healthcare Network,New York,United States
538,Bassett Medical Center,New York,United States
539,Columbia University Irving Medical Center,New York,United States
540,Greenwich Hospital,New York,United States
541,Harlem Hospital Center,New York,United States
542,Helen Hayes Hospital,New York,United States
543,Holy Name Medical Center,New York,United States
544,"Manhattan Eye, Ear and Throat Hospital",New York,United States
546,Nyack Hospital,New York,United States
547,St. Francis Hospital,New York,United States
548,Stamford Hospital,New York,United States
549,Union Theological Seminary,New York,United States
550,Yale University,New Haven,United States
551,Center for Light Energy Activated Redox Processes,New Haven,United States
552,Bridgeport Hospital,New Haven,United States
553,Danbury Hospital,New Haven,United States
554,Gaylord Hospital,New Haven,United States
555,Greenwich Hospital,New Haven,United States
556,Griffin Hospital,New Haven,United States
557,Haskins Laboratories,New Haven,United States
558,Norwalk Hospital,New Haven,United States
559,St Mary's Hospital,New Haven,United States
560,Yale Cancer Center,New Haven,United States
561,Yale New Haven Health System,New Haven,United States
562,Yale New Haven Hospital,New Haven,United States
563,Environmental Molecular Sciences Laboratory,Richland,United States
564,The Ohio State University,Columbus,United States
565,Center for Muscle Health and Neuromuscular Disorders,Columbus,United States
566,The Ohio State University Newark,Columbus,United States
567,The Ohio State University at Lima,Columbus,United States
568,The Ohio State University at Mansfield,Columbus,United States
569,The Ohio State University at Marion,Columbus,United States
570,University System of Ohio,Columbus,United States
571,Nationwide Children's Hospital,Columbus,United States
572,Ohio State University Hospital,Columbus,United States
574,The Ohio State University Wexner Medical Center,Columbus,United States
576,Morgridge Institute for Research,Columbus,United States
577,University of Wisconsin System,Columbus,United States
578,Kyoto University,Kyoto,Japan
579,Kyoto University Hospital,Kyoto,Japan
580,Massachusetts Institute of Technology,Cambridge,United States
581,Athinoula A. Martinos Center for Biomedical Imaging,Cambridge,United States
583,Institute for Soldier Nanotechnologies,Cambridge,United States
584,MIT Lincoln Laboratory,Cambridge,United States
585,MIT Sea Grant,Cambridge,United States
586,MIT-Harvard Center for Ultracold Atoms,Cambridge,United States
587,Massachusetts Space Grant Consortium,Cambridge,United States
588,McGovern Institute for Brain Research,Cambridge,United States
589,Novartis-MIT Center for Continuous Manufacturing,Cambridge,United States
590,"Ragon Institute of MGH, MIT and Harvard",Cambridge,United States
591,The NSF AI Institute for Artificial Intelligence and Fundamental Interactions,Cambridge,United States
592,Whitehead Institute for Biomedical Research,Cambridge,United States
593,Broad Institute,Cambridge,United States
595,IIT@MIT,Cambridge,United States
596,Massachusetts Green High Performance Computing Center,Cambridge,United States
597,Northeast Radio Observatory Corporation,Cambridge,United States
598,Singapore-MIT Alliance for Research and Technology,Cambridge,United States
599,University of Florida,Gainesville,United States
600,Florida Medical Entomology Laboratory,Gainesville,United States
601,Florida Sea Grant,Gainesville,United States
602,National High Magnetic Field Laboratory,Gainesville,United States
603,State University System of Florida,Gainesville,United States
604,UF Health Shands Hospital,Gainesville,United States
605,University of Florida Health Science Center,Gainesville,United States
606,University of Minnesota,Minneapolis,United States
607,University of Minnesota System,Minneapolis,United States
608,Children's Minnesota,Minneapolis,United States
609,Hennepin County Medical Center,Minneapolis,United States
610,Minneapolis VA Health Care System,Minneapolis,United States
611,Minnesota Lions Eye Bank,Minneapolis,United States
612,Minnesota Veterans Medical Research and Education Foundation,Minneapolis,United States
613,St. Joseph's Hospital,Minneapolis,United States
614,University of Minnesota Children's Hospital,Minneapolis,United States
615,University of Minnesota Medical Center,Minneapolis,United States
616,Tsinghua University,Beijing,China
617,Center for Life Sciences,Beijing,China
618,Collaborative Innovation Center of Quantum Matter,Beijing,China
619,State Key Laboratory on Integrated Optoelectronics,Beijing,China
620,The Synergetic Innovation Center for Advanced Materials,Beijing,China
622,Beijing Hua Xin Hospital,Beijing,China
623,Beijing Tsinghua Chang Gung Hospital,Beijing,China
624,Chinese Academy of Medical Sciences & Peking Union Medical College,Beijing,China
625,Peking Union Medical College Hospital,Beijing,China
626,University of British Columbia,Vancouver,Canada
627,Bamfield Marine Sciences Centre,Vancouver,Canada
628,Pacific Institute for Climate Solutions,Vancouver,Canada
629,B.C. Women's Hospital & Health Centre,Vancouver,Canada
630,British Columbia Children's Hospital,Vancouver,Canada
631,Centre for Health Evaluation and Outcome Sciences,Vancouver,Canada
632,GF Strong Rehabilitation Centre,Vancouver,Canada
633,Kelowna General Hospital,Vancouver,Canada
634,Penticton Regional Hospital,Vancouver,Canada
635,Richmond Hospital,Vancouver,Canada
636,Royal Inland Hospital,Vancouver,Canada
637,St. Paul's Hospital,Vancouver,Canada
638,University of British Columbia Hospital,Vancouver,Canada
639,Vancouver General Hospital,Vancouver,Canada
640,Vancouver Hospital and Health Sciences Centre,Vancouver,Canada
641,Vernon Jubilee Hospital,Vancouver,Canada
642,"University of California, San Diego",San Diego,United States
643,California Sea Grant,San Diego,United States
644,California Space Grant Consortium,San Diego,United States
645,San Diego Supercomputer Center,San Diego,United States
646,Scripps Institution of Oceanography,San Diego,United States
647,University of California System,San Diego,United States
648,Rady Children's Hospital-San Diego,San Diego,United States
649,Salk Institute for Biological Studies,San Diego,United States
650,Scripps Mercy Hospital,San Diego,United States
651,University of California San Diego Medical Center,San Diego,United States
652,VA San Diego Healthcare System,San Diego,United States
653,University of Illinois Urbana-Champaign,Urbana,United States
654,Illinois Space Grant Consortium,Urbana,United States
655,National Center for Supercomputing Applications,Urbana,United States
656,University of Illinois System,Urbana,United States
657,Advanced Digital Sciences Center,Urbana,United States
658,Amita Health,Urbana,United States
659,Carle Foundation Hospital,Urbana,United States
660,Pennsylvania State University,State College,United States
661,Center for Dielectrics & Piezoelectrics,State College,United States
662,Pennsylvania Sea Grant,State College,United States
663,Pennsylvania Space Grant Consortium,State College,United States
664,Penn State Milton S. Hershey Medical Center,State College,United States
665,Imperial College London,London,United Kingdom
666,MRC London Institute of Medical Sciences,London,United Kingdom
